point_id,area_code,area_name,description,x_coordinate,y_coordinate,installed_sensors
REA007,REA,反应器区,反应器区的监测点7,66.47,59.1,"temperature,pressure,flow_rate,level,gas_concentration"
REA008,REA,反应器区,反应器区的监测点8,2.02,93.34,"temperature,pressure,flow_rate,level,gas_concentration"
REA009,REA,反应器区,反应器区的监测点9,41.5,32.03,"temperature,pressure,flow_rate,level,gas_concentration"
REA010,REA,反应器区,反应器区的监测点10,71.32,74.76,"temperature,pressure,flow_rate,level,gas_concentration"
REA011,REA,反应器区,反应器区的监测点11,67.57,6.83,"temperature,pressure,flow_rate,level,gas_concentration"
REA012,REA,反应器区,反应器区的监测点12,62.34,64.48,"temperature,pressure,flow_rate,level,gas_concentration"
REA013,REA,反应器区,反应器区的监测点13,9.39,44.09,"temperature,pressure,flow_rate,level,gas_concentration"
REA014,REA,反应器区,反应器区的监测点14,53.04,37.7,"temperature,pressure,flow_rate,level,gas_concentration"
REA015,REA,反应器区,反应器区的监测点15,44.16,48.64,"temperature,pressure,flow_rate,level,gas_concentration"
REA016,REA,反应器区,反应器区的监测点16,23.98,0.53,"temperature,pressure,flow_rate,level,gas_concentration"
REA017,REA,反应器区,反应器区的监测点17,61.76,36.79,"temperature,pressure,flow_rate,level,gas_concentration"
REA018,REA,反应器区,反应器区的监测点18,60.65,4.2,"temperature,pressure,flow_rate,level,gas_concentration"
REA019,REA,反应器区,反应器区的监测点19,33.09,92.82,"temperature,pressure,flow_rate,level,gas_concentration"
REA020,REA,反应器区,反应器区的监测点20,37.75,92.52,"temperature,pressure,flow_rate,level,gas_concentration"
REA021,REA,反应器区,反应器区的监测点21,10.25,53.07,"temperature,pressure,flow_rate,level,gas_concentration"
REA022,REA,反应器区,反应器区的监测点22,66.6,14.26,"temperature,pressure,flow_rate,level,gas_concentration"
REA023,REA,反应器区,反应器区的监测点23,36.75,22.07,"temperature,pressure,flow_rate,level,gas_concentration"
REA024,REA,反应器区,反应器区的监测点24,71.27,93.54,"temperature,pressure,flow_rate,level,gas_concentration"
REA025,REA,反应器区,反应器区的监测点25,14.53,86.82,"temperature,pressure,flow_rate,level,gas_concentration"
SEP001,SEP,分离提纯区,分离提纯区的监测点1,68.26,56.29,"temperature,pressure,flow_rate,level,gas_concentration"
SEP002,SEP,分离提纯区,分离提纯区的监测点2,9.96,38.69,"temperature,pressure,flow_rate,level,gas_concentration"
SEP003,SEP,分离提纯区,分离提纯区的监测点3,89.33,97.63,"temperature,pressure,flow_rate,level,gas_concentration"
SEP004,SEP,分离提纯区,分离提纯区的监测点4,98.6,80.1,"temperature,pressure,flow_rate,level,gas_concentration"
SEP005,SEP,分离提纯区,分离提纯区的监测点5,18.75,11.03,"temperature,pressure,flow_rate,level,gas_concentration"
SEP006,SEP,分离提纯区,分离提纯区的监测点6,39.46,48.39,"temperature,pressure,flow_rate,level,gas_concentration"
SEP007,SEP,分离提纯区,分离提纯区的监测点7,83.61,54.56,"temperature,pressure,flow_rate,level,gas_concentration"
SEP008,SEP,分离提纯区,分离提纯区的监测点8,1.14,84.95,"temperature,pressure,flow_rate,level,gas_concentration"
SEP009,SEP,分离提纯区,分离提纯区的监测点9,96.9,85.69,"temperature,pressure,flow_rate,level,gas_concentration"
SEP010,SEP,分离提纯区,分离提纯区的监测点10,34.02,54.5,"temperature,pressure,flow_rate,level,gas_concentration"
SEP011,SEP,分离提纯区,分离提纯区的监测点11,35.62,49.3,"temperature,pressure,flow_rate,level,gas_concentration"
SEP012,SEP,分离提纯区,分离提纯区的监测点12,69.96,15.33,"temperature,pressure,flow_rate,level,gas_concentration"
SEP013,SEP,分离提纯区,分离提纯区的监测点13,61.87,77.72,"temperature,pressure,flow_rate,level,gas_concentration"
SEP014,SEP,分离提纯区,分离提纯区的监测点14,86.9,29.53,"temperature,pressure,flow_rate,level,gas_concentration"
SEP015,SEP,分离提纯区,分离提纯区的监测点15,33.92,93.35,"temperature,pressure,flow_rate,level,gas_concentration"
SEP016,SEP,分离提纯区,分离提纯区的监测点16,18.31,90.82,"temperature,pressure,flow_rate,level,gas_concentration"
SEP017,SEP,分离提纯区,分离提纯区的监测点17,94.83,50.21,"temperature,pressure,flow_rate,level,gas_concentration"
SEP018,SEP,分离提纯区,分离提纯区的监测点18,60.93,25.3,"temperature,pressure,flow_rate,level,gas_concentration"
SEP019,SEP,分离提纯区,分离提纯区的监测点19,90.42,47.83,"temperature,pressure,flow_rate,level,gas_concentration"
SEP020,SEP,分离提纯区,分离提纯区的监测点20,43.07,21.7,"temperature,pressure,flow_rate,level,gas_concentration"
PRO001,PRO,成品储存区,成品储存区的监测点1,72.59,92.89,"temperature,pressure,flow_rate,level,gas_concentration"
PRO002,PRO,成品储存区,成品储存区的监测点2,23.93,25.12,"temperature,pressure,flow_rate,level,gas_concentration"
PRO003,PRO,成品储存区,成品储存区的监测点3,49.29,2.71,"temperature,pressure,flow_rate,level,gas_concentration"
PRO004,PRO,成品储存区,成品储存区的监测点4,55.92,23.04,"temperature,pressure,flow_rate,level,gas_concentration"
PRO005,PRO,成品储存区,成品储存区的监测点5,77.43,46.15,"temperature,pressure,flow_rate,level,gas_concentration"
PRO006,PRO,成品储存区,成品储存区的监测点6,25.4,80.3,"temperature,pressure,flow_rate,level,gas_concentration"
PRO007,PRO,成品储存区,成品储存区的监测点7,99.36,73.75,"temperature,pressure,flow_rate,level,gas_concentration"
PRO008,PRO,成品储存区,成品储存区的监测点8,29.43,28.93,"temperature,pressure,flow_rate,level,gas_concentration"
PRO009,PRO,成品储存区,成品储存区的监测点9,80.68,93.47,"temperature,pressure,flow_rate,level,gas_concentration"
PRO010,PRO,成品储存区,成品储存区的监测点10,73.48,81.54,"temperature,pressure,flow_rate,level,gas_concentration"
PRO011,PRO,成品储存区,成品储存区的监测点11,96.74,10.89,"temperature,pressure,flow_rate,level,gas_concentration"
PRO012,PRO,成品储存区,成品储存区的监测点12,49.61,3.69,"temperature,pressure,flow_rate,level,gas_concentration"
PRO013,PRO,成品储存区,成品储存区的监测点13,88.84,55.3,"temperature,pressure,flow_rate,level,gas_concentration"
PRO014,PRO,成品储存区,成品储存区的监测点14,66.58,32.59,"temperature,pressure,flow_rate,level,gas_concentration"
PRO015,PRO,成品储存区,成品储存区的监测点15,67.12,46.64,"temperature,pressure,flow_rate,level,gas_concentration"
UTL001,UTL,公用工程区,公用工程区的监测点1,65.8,5.09,"temperature,pressure,flow_rate,level,gas_concentration"
UTL002,UTL,公用工程区,公用工程区的监测点2,44.81,61.89,"temperature,pressure,flow_rate,level,gas_concentration"
UTL003,UTL,公用工程区,公用工程区的监测点3,63.31,8.65,"temperature,pressure,flow_rate,level,gas_concentration"
UTL004,UTL,公用工程区,公用工程区的监测点4,1.93,20.98,"temperature,pressure,flow_rate,level,gas_concentration"
UTL005,UTL,公用工程区,公用工程区的监测点5,74.1,57.22,"temperature,pressure,flow_rate,level,gas_concentration"
UTL006,UTL,公用工程区,公用工程区的监测点6,64.48,4.13,"temperature,pressure,flow_rate,level,gas_concentration"
UTL007,UTL,公用工程区,公用工程区的监测点7,90.92,57.58,"temperature,pressure,flow_rate,level,gas_concentration"
UTL008,UTL,公用工程区,公用工程区的监测点8,55.71,74.96,"temperature,pressure,flow_rate,level,gas_concentration"
UTL009,UTL,公用工程区,公用工程区的监测点9,3.3,83.81,"temperature,pressure,flow_rate,level,gas_concentration"
UTL010,UTL,公用工程区,公用工程区的监测点10,59.39,76.8,"temperature,pressure,flow_rate,level,gas_concentration"
UTL011,UTL,公用工程区,公用工程区的监测点11,40.19,7.95,"temperature,pressure,flow_rate,level,gas_concentration"
UTL012,UTL,公用工程区,公用工程区的监测点12,79.78,84.11,"temperature,pressure,flow_rate,level,gas_concentration"
UTL013,UTL,公用工程区,公用工程区的监测点13,23.26,48.57,"temperature,pressure,flow_rate,level,gas_concentration"
UTL014,UTL,公用工程区,公用工程区的监测点14,60.21,22.38,"temperature,pressure,flow_rate,level,gas_concentration"
UTL015,UTL,公用工程区,公用工程区的监测点15,58.64,38.4,"temperature,pressure,flow_rate,level,gas_concentration"
UTL016,UTL,公用工程区,公用工程区的监测点16,76.72,42.39,"temperature,pressure,flow_rate,level,gas_concentration"
UTL017,UTL,公用工程区,公用工程区的监测点17,95.77,33.13,"temperature,pressure,flow_rate,level,gas_concentration"
UTL018,UTL,公用工程区,公用工程区的监测点18,51.98,6.64,"temperature,pressure,flow_rate,level,gas_concentration"
UTL019,UTL,公用工程区,公用工程区的监测点19,14.65,15.13,"temperature,pressure,flow_rate,level,gas_concentration"
UTL020,UTL,公用工程区,公用工程区的监测点20,33.35,27.85,"temperature,pressure,flow_rate,level,gas_concentration"
